text,stars
"Stopped in Sunday for lunch after a high recommendation from a friend of mine in San Diego.   She claimed it was the best sub she's ever had so I had to try it.  Unfortunately my sub came up short with lack of taste and toppings.  When we pulled up I noticed it was super busy and was thinking man they must have great subs for it to be so packed.  Was lucky to get a booth inside but it wasn't as clean as others have stated in other reviews.  I had to take one of their comment cards and wipe the table of all crumbs on the ground as others had obviously done from the looks of the floor.  I had the Chipotle Cheese Steak sub that I split with my husband.  The bread tasted ok, but it wasn't fresh out of the oven. They skimpt on the steak and hardly saw any onions at all on it.  For the price of the sandwich I really was expecting to get more.  The sauce was the best thing about it but I was wanting more of it as well.  I won't be going back.  Sad that it wasn't a better first impression.",2
"My picks:
Derby Smash
Green Chili Risotto
Pan Seared Escolar
Sticky Buns

If you are looking for Arizona charm, this is the place. Every Arizona resident needs to experience this hidden gem.

Thanks Jacquie, Kristy & Tim for continuing to believe in this historic restaurant and landmark!",5
"This is an adorable little gallery located in the middle of nowhere, Downtown Phoenix.  My art teacher friend got fixated on bringing me here when she heard me complaining about Phoenix being chain hell (and thanks to her and Yelp, I don't believe that anymore).  I think she chose wisely as I loved this little space.  

It was a nice place to stop and check out, and then of course we had lunch at the attached City Bakery.  A perfect activity for a half-day of school!  Hooray creativity and uniqueness!",5
"So I've been back to Ra a few times now, and while the food is always acceptable, the service has gotten progressively worse each time. Today my co-worker and I actually waited an unbelievable 50 minutes for our food, which - if your waitress stops by, checks in with you, apologizes, lets you know she knows you've been waiting - wouldn't have been nearly so bad. Still extremely annoying, sure, but forgiveable. Not this waitress - we had to call her over for every thing we needed. Serioulsy, not once did she just stop by to check on us. We had to call her over to place our drink order, ask for sugar for our tea, to place our food order, to get the check, everything. So by the time the food came, I had to scarf down my grilled apple teriyaki salmon brick in 5 minutes to make it back to work on time. That's it, Ra - you've lost another customer.",2
"By far the best asian market in the entire valley! I first discovered Lee Lee's tempe location and was so happy when they opened this location in the west valley.  Amazing selection from produce, meats, and asian. The staff is super nice. Never have had a poor experience in all the years. Shelves are clean and organized.  Prices are great too.",5
"This Chipotle Rocks!  
Today, I express my joy
In the haiku form!

Perfect fast food joint;
Fresh, delicious, quick and kind.
The price is right, too!

Burritos galore;
In a tortilla or bowl.
But wait, there is more!

Three steak tacos, please!
Or grilled veggie fajitas?
Oh sweet perfection.

A simple menu,
Yet so many decisions.
How can you go wrong?

Answer:  You cannot!  
Order now, you won't regret,
This Chipotle Rocks!",5
"I think Matt's has had its '5 minutes of fame'.  Note to owners: Your food is good enough,  your staff is great, so please save your money and move to a better location.  Right now, you're next to a rundown hotel with police baracade tape all over the place.The local residents(?) pan-handling all the waiting customers outside your place. Seriously?   Just sad.  Won't go again, won't recommend it either.  Good luck this summer, the heat will melt all your 'waiting area' customers out .",2
"My first ever trip to Bass was overwhelming. Like walking into a Sportsman's Warehouse that had mated with Dick's Sporting Goods, and then gone on steroids. Bass Pro Shops is an outdoor person's dream. 

And it's good for the whole family, oddly enough!

Once you get inside this massive place, you have an upstairs and downstairs. There is a kid's area, a restaurant with fresh fish, a huge women's section and mens, and areas for fishing and boats and hunting and camping and survival and gear for any occasion. You can look at the giant fish tank, climb up a faux rock side for $3, and just be purely entertained for ages. They have snack foods and jerky and sweets. BBQ grills. Do they have guns? I don't know, probably! They have GPS equipment and water bottles and on and on and on. 

It was exhausting in a great way. My camping/outdoors needs tend to be more mimimalist oriented so I prefer an REI. But I like it here a lot. I picked up some socks that have a lifetime guarantee, and a nice woolen shirt for almost nothing, and a couple of gifts for the hunter/outdoors people in my life back in Tucson.

Bass: it is an experience.",4
"This bar is ok to hang out at. I think its sort of frumpy. The drinks are fine, I've never eaten there.  They have PBR there. 

Lots of local people mostly regulars. Anyone can go there an fit in there.  I have been a few times but it's not a place I spend a lot of time.",3
"The food wasn't that good but that wasn't my main issue. It was the unwelcoming feeling I experienced. I will not be returning. The owner was friendly with everyone in the restaurant except my boyfriend and I. He would go table to table and talk to people and greet new customers and would acknowledge them when they left. The only acknowledgement I was received was an uncomfortable feeling of him staring at me when I wasn't looking, I'm assuming due to my abundance of tattoos. I felt judged and will not recommend this place to my friends or will never return.",2
"One of the best breakfast burrito selections in town.

My personal favorite is the breakfast supreme w/ red sauce ( and root beer the size of my head).

The decor may be meh, but the quality of the food more than makes up for it. 

They deliver, are always nice, and never busy (which is unfortunate). Definitely a diamond in the rough.",4
"My wife and I were looking for a particular type of rose for our garden. We called this location and asked if they had it in stock and what the price was. They said they did and quoted us a price of $24.99 for a gallon sized plant. Good to go. We drive there and find the rose bush but it is listed as $44.99. So we go to the front and say that  we had called and driven 30 minutes to get this rose and we were told ""Oops...sometimes the  prices on my list up front right"". No sh!t Sherlock. So...will you honor the price quoted? NO. 

So we drove down the street to A And P Nursery on Baseline west of Lindsay and got the same size plant that they were selling for $44.99 for $16.99. 

Don't waste your time with these rip-off artists.",1
"i cannot give this place 5 stars because i went there today at 3:30 and IT WAS CLOSED.  what business closes at 3?  REALLY?  oh phoenix, you're killing me.

BUT the food (creative, delicious sandwiches and desserts), speedy service, and reasonable prices really do deserve 5 stars.  The chicken/asparagus/havarti sandwich almost killed my taste buds with its deliciousness.  i went for carry-out at a peak time (about 12:30) and TOTAL, from joining the 6-person line to walking out the door, I probably spent about 15 minutes there.  very fast service=very happy jenny.

i didn't get dessert, but i will be back on a day when i'm feeling either very fit or very depressed.  maybe tomorrow, due to my 3 PM CLOSE TIME funk.  crimeny. 
:)",4
"This is great if you are in a hurry, they have slices and salads ready to go. Above average quality and a nice open space too. Perfect stop before or after catching a movie next door.",3
"New and big yes... but not my favorite spring training park.

5 stars for being big and roomy and also lots of grass in the outfield

2 stars for being almost like a major league park. Feels like you are attending a MLB regular season game. They lost out on the small spring training feel and intimacy.

0 stars for being the only cactus league park I visited this spring not allowing you to bring in food like candy or peanuts or sunflower seeds. You realize why when you see the pricey beer and food vendors inside.",2
"Wow, servers were a bunch of stuck up b's in corset's... that's original. Didn't eat, but wanted to check out the crowd on a Friday night.  Bleh... typical NoSco crowd of gym jockeys in Affliction shirts two sizes too small... late 40's women with enough botox to look early 40's and a few lost 20 somethings stretching to pay $12 for a drink.  The cover band made it an easy decision to bail and salvage the night at Eddy V's with some great oysters and live jazz from actual musicians.",2
"Enjoyed dinner on the patio - I had the Pad Cha Seafood dish rated ""Thai hot"" - the so-called hottest dish on the menu.  The person I was with ordered the ginger fish - mediocre at best, although it looked great with a variety of vegetables and pineapple.  I felt the dishes looked better than they actually tasted.  The seafood (mussels, calamari, salmon, shrimp) in my dish was very fresh but it wasn't Thai hot at all.  The ambiance of their patio was enjoyable and the Thai iced tea was very tasty although a little too sweet towards the end.  Overall, I will probably give this restaurant another try in the future but I wasn't very impressed with the taste of the food.",3
"One word: bleh. I know my Thai food and this place was about 1 star, an extra star for the nice service. I came here with my mom, uncle, and aunt and being my first time, I opted to order my usual pad see ew. We also ordered coconut fried shrimps, the mango papaya salad, tom yum soup, and fried rice. Honestly, the best thing about our order was the coconut fried shrimps. It came out hot a crispy and flavorful. Everything else needed help. 

The fried rice was too overwhelming, it tasted like too much fish sauce and was very salty. The Tom yum soup was a little bland and we had to add fish sauce to it, and the pad see ew was way too darn spicy for being a ""mild/medium"". It was full of this unpleasant pepper flavor that I definitely wasn't use to in my pad see ew as well. My aunt and uncle think that the place hired a new head chef or something, because since they're regulars, the food this time around was definitely not worth the bill. We ended up to-going 60% of the food untouched so that we can tweak it ourselves at home to our liking. 

All in all, there are other places around town with better food - 1 star. 1star for the friendly staff.",2
"I have just relocated to Scottsdale and eager to find a great wine bar and/or restaurant with a great wine list...and 5th and Wine was the one place that everyone recommended, so I was eager to check it out!

I decided to check it out one night after work, and asked a few co-workers for some delish food choices to try...the bruschetta was the one to try!

I loved the ambiance, very social atmosphere, nice bar scene and small tables, but they also had another room for tables further away from the bar which was more chill and quiet atmosphere.  I was quickly seated at a nice table in the more quiet area, and could scope out the scene. 

I started with a delish glass of Charles LaFitte - Brut France sparking...which for $9 was a deal and refreshing!

I quickly scanned the menu for the bruschetta and my mouth started to water with the selections.  I opted for the prosciutto/fig/marscapone bruschetta and the standard mozzarella/tomato/basil bruschetta!  Both were totally delicious!  The bread was lightly toasted and a bit soft...not like your typical ""crunchy"" bread bruschetta...which I actually enjoyed more than I thought I would.  

I ordered the Beef Bourguignon Julia Childs' ""Beef, Wine, Bacon, Mushroom Stew"" over egg noodles...for $16.96...again, a total deal and totally tasty!  The beef melted in my mouth and the mushroom and sauce was hearty and flavorful!

All in all, the meal was wonderful, and the service was great - very attentive staff - Jonathan, my waiter, was super personable. I also met Scott Yanni, one of the owners, who came over to see how my meal was...and he was very gracious when I told him that I just relocated here and was very happy to find his restaurant as one of my new favorites!

I will definitely be back for more of their great menu and tasty libations!",4
"Awesome Saturday breakfast buffet (until 11am). I wanted a resort style brunch setting to treat my folks too while they were in town. The service here is impeccable as are the grounds, which deserve a good walking through after you gorge yourself on heaps of fresh fruit, pastries, bacon and eggs. Located in central Scottsdale.",4
"The only reason 1 star can be given is the flavor choices and taste.  The SMALLEST wings I have ever seen, they must be off of baby chicks.  I thought it was getting punked, actually LOL.  Never to be back",1
"This was the most HORRIBLE floor cleaning I have ever seen!!!!! We took before and after pictures and cannot tell the difference at all! The guy was not friendly and just wanted our money even though he did not do his job! I would NEVER recommend this company to anyone. We paid $1000 and got $20 worth of service. I mopped the floor the day after the cleaning guy was here and got a lot of the ""staining as he would say"" off easily. I have included a picture that we wrote in the floor with a paper towel after the cleaning....can you read the saying? That is exctaly how we felt after the service. REALLY?!?!?",1
"""trendy, loud-music, ok-sushi!"" - 2/5

When we lived right across the street from the Sushi Brokers, J and I used to go there at least once a month for its happy hour. We probably had been there at least 8 times with friends and family. I have to say that the quality was good for the start but went downhill since then. The price was right if you go during the happy hour. Other time, kinda expensive with the quality and service. It was a seen-to-be-seen place with ok-quality sushi.",2
"We had a group reservation for The Old Town Tortilla Factory, that was great. The problem was that was about all that was great about the place. The credit card machine in the bar was down for the time we were waiting for our table, chips and salsa was $7 and the food was not really good at all. I had asked our waitress about two items and she suggested the restaurants signature dish Pollo Margarita, stuffed chicken breast with chiptole mashed potato cake and seasonal vegetables. The chicken was extremely dry the stuffing was bland and the mashed potato cake was the same bland and dry. The only thing good to eat was the freshly made tortillas.",2
"This place makes some of the best vegan gelato/ice cream I've had. If you're vegan, skip the (kinda gross) soy froyo, and eat one of the gelatos. The service was super friendly and all the gelatos were super tasty. I had a big scoop of peanut butter soy gelato. It was by far the best peanut butter based ice cream I've ever had.",4
"The features in the room seem outdated.  The room was a sauna when I got in and could not fix the problem because the thermostat was hard to figure out.  I woke up in the middle of the night because it was unbearable and a staff person did come by and was able to make the room a little cooler.

I like the check-in and check-out kiosks so I don't have to wait on a line for a live person who seemed to be just chatting away with someone.",3
"Considering this is the only gym I've ever been in, it's great! They have updated equipment and lots of them. I usually go during one of the busy times and can always get on a machine, or do the things I want to. Plus they have classes which are good. And every time me & my boyfriend walk in & out of the Y, a nice gal at the food counter greets us and says goodbye. We still never order anything, though...

They lose a star though because I HATE WORKING OUT!  Sigh...",4
"Stopped in there December 17th. They have a great sound system that fills this large bar up nicely.  I got the sampler platter and it's all fried, and it was definitely edible, I was wanting more! Lot's of beers on tap. Chuck the owner is very nice and easy to talk to and always has a grin.  Julie is a hard worker and keeps the beers flowing, take of the wait staff and they will take care of you.  Oh they had a live band there, Whiskey Tango was the name of the band.  I left there with money in my pocket, this place will not break you, it's a working mans bar. I will definitely go back there!!!",4
Can't say enough about this place. We were amazed by the room and it's stylings and even more amazed with the pool and the view from it. We were on a mission to chill and found the perfect place. Views of Camelback Mountain and a staff that knew what they were doing. Try the brie quesadillas and the Sanctuary lemonade.,5
"I give up. When you can still see the dough through the sauce and the cheese and the $2.00 extra cheese, and when the manager looks at it and says ""yeah, that's extra cheese"", I won't be going back. Sorry.",2
"I have lived here for about 5 months, the place is okay i guess, the ground are clean which I like, but the staff seems kinda disorganized.. they got our move in dates wrong which thank god I'm an early mover and didn't wait to the last min, then when we FINALLY moved in, we got a different apt than we were showed originally. The linen closet has a big freakin heater tank in it. Which okay whatever i guess is not that big of a deal but then I found out we pay more for our water because its not divided out between everyone else. Also EVERYTHING breaks our shower has broken twice, the closet light broke out the wall, the bathroom light fell out of the wall, the kitchen stove and the washer has all broke from the time we moved in (Last May). the only reason i give it 2 stars is because i do know there are a lot worse apartments out there but still my house is falling apart! When I go in the office i feel they always try and rush me out because i can finish my questions its really annoying. So be careful when looking at these apartments when looking for a place to live.",2
I love that this restaurant can accommodate  all types of people. It's a sports bar with Family style entertainment! The staff is always friendly and  they aim to please. The food is always good and prices are very reasonable. The bar is on one side so it splits the Families with children on the other side with an amazing area with tvs to play Xbox and wii. Check this place out. You won't be disappointed.,5
"I am not a fan of this place. I like to try to stay positive though so here is my attempt a the proverbial ""positive sandwich""

Top Bun: The location is fantastic. I really like where it is, its a cute little place that is very easy to find.

The Meat of the Matter: The food here is odd. I am very open to trying new things and experiencing different cultures. As I have mentioned in other reviews, I love all types of food from all over the world. I didn't care for this place. I ordered an appetizer that was wrapped in a banana leaf and i honestly thought I was eating an ashtray. It wasn't good. The pad thai that I sampled was very lifeless. I had a friend get a big bowl of soup that looked good but i didn't try it. 

Lettuce, onions pickles, tomato: The service was not good. I sat at the bar the first time I went here and we got ignored for the most part. The bartender (who i believe doesn't work there anymore, luckily) sniffed at me when I asked for clarification on something. There are also jars of really weird floating things at the bar (probably pickled/preserved veggies/meat/fruits etc.) it was unappetizing to be around....I don't have a weak stomach at all, it was just odd. The second time I went in, the service was equally as bad. there was a table of 8 of us for lunch and the place was mostly dead and I had to go up and ask them to take our order after we sat waiting for 30 minutes. Subsequently, the menu is small and the prices are high with not much room for substitutions or changes

Bottom bun: I like the owner, he is really nice and friendly. The cooks were also friendly. I like to believe that my taste buds merely didn't care for this place. I know a lot of people that have very positive things to say about this place. I will not recommend it as a personal favorite and I will quite frankly probably avoid it unless it is specifically requested by a client. I am completely fine with the concept that not everyone has to like the same things. I personally have not had a good experience with this place, but I respect the fact that a majority of the reviewers for it have.",1
Will never eat here again. Sandwich was meteocre and overpriced. On top Of that I was charged more than I was told the total was. Horrible first time experience!,1
"They must have renovated this place in the last year. It is now spacious and airy and there is no longer the dreaded ""hover over a table to get a seat"" necessity.  It now reminds me much more of the dreaded ""Panera Bread"" chain in California, but the food is still much better and has much less of a ""mass produced"" feeling and taste.

The service (management, staff etc) were extremely attentive and responsive to requests as well as keeping the place extremely well clean and cleared.

I love carbs...Carbs with carbs and a side of carbs.  They serve warm syrup with their pancakes (yum!) and their bread is just amazing.  

The ""side of pancakes"" is plenty big for a meal and they are always consistent, fluffy, and tasty.  

They offer both a dark roast and a house roast for coffee and all the powdery loveliness (cinnamon, nutmeg, cocoa) to top it off just right.

Today, before returning to the land of freeways and smog and eternal sunshine(well, the other land of that anyway) we enjoyed their peppermint hot chocolate. I would highly recommend that you run on it and have this frothy goodness before the holiday season ends!",4
"It does not get much better than this, fellas.

BS West is hands down the best gay bar in Phoenix.

Friendly bartenders, cheap drinks, good-looking crowd, great music..it's definitely got it all.

Best night to check out is the obvious 2-4-1 Wednesday. 

Thursdays and Sundays can also be fun if you're into karaoke. Saturdays are a nice alternative if you don't really dig Forbidden or Amsterdam, it's a different crowd.

It definitely has a ""Cheers"" feeling to it... not pretentious whatsoever. Great patios too, especially the back one with the new video screen they installed.

Oh, and their Halloween bash is THE party to be at. 3,000 people attended in 2007.",5
"My wife and I have going to this restaurant on Thursday night for past three months to have a beer and a slice.  A couple weeks ago I went there for the usual but there was an NFL game and a World series game on and the restaurant was busy.  I put my name in and waited for my wife and the table.  30 minutes went by and wife had not shown up and the table had just become available.  Hostess said I can't seat you unless your other party shows up first.  I called my wife, she cancelled.  Hostess would not seat me as a single...TERRIBLE..Hostess did not tell me this when I first put my name in.  WON'T BE GOING TO ANY OF THE ZIPPS EVER AGAIN.",1
"It was family day (the ex and I like to see our son smile) and we were starving... after driving around for a while we pulled up to Arriba's and said ""what the hell...""

That's also what we said when some of the food came, as in ""what the hell is this??""

So positive first.  The server was pretty quick and he gave refills without being asked.  Chips and salsa were good.  Chips were warm and salsa had a nice (suprising) kick.  Kick... do I sound like an old lady? 

Morgan and I ordered fish tacos and beef tacos, respectively, so we could swap one for one.  Fish was ok... nothing spectacular... but honestly I would rather pay for one at freakin Del Taco or Rubios.  Not worth it here.  Rice was ok, some flavor, probably converted rice though.  Beans were... blended?  I dunno about you but I like to see some actual BEANS in my beans!  This stuff was like brown goo... YUMMMMMMMM... :P

The beef taco was just weird.  I swear to God is tasted like gyro meat!  WTF?  I couldn't eat much of it.  

Last but not least, Dom ordered the White Sands Chimichanga.  That sh*t looked nasty to be honest.  Covered with some gooey white sauce, filled with pork.  LOL, he said it tasted like hot dog.  Um, yikes!  He took about 2 bites and was ""full"".  A.K.A., he didn't like it.

I also had a margarita... it was HUGE and didn't taste very good.  I'd rather have one 1/4 that size that tasted nice.  Oh well.

One star for the chips and salsa.  Like I said, the fish taco was okay, but every thing was just way over-priced!  

Final verdict?  We decided to NEVER go there again.",1
"Let me qualify my review by stating that I have not been to Butter & Me.  I have had their yummy mini cupcakes at a Yelp event.

I tried the red velvet mini cupcake.  It was really good.  Moist and flavorful with a rich creamy frosting.  Yum.  I chased it with few sips of Cruz tequila.  Hey, it was in my other hand.

I also tried a chocolate mini cupcake.  Yummy.  Again, moist and delicious.  I don't know how they keep the mini ones from drying out.  When I make mini muffins at home they dry out easily (that is if any survive the first half hour...the survival rate for any kind of pastry in my vicinity is exceedingly low).

I also garnered a few extra cupcakes to take back to my wife and a friend and score points.  Mini cupcakes=brownie points.",4
"This was my go to Vietnamese restaurant for pho and rice plates not because it's my favorite but because of convenience. Pho Avina is closer to me but that place is terrible so I end up going to this place. It also helps that LeeLee Supermarket is one street over so I get a Viet fix and my Asian needs shopping in one trip. The pho and com tam is average. The service is fast and friendly enough. I do find it a big stingy that they don't bring out the bowl of broth/soup before you get your rice plate unless you ask for it. 

All in all this place is fine if you just want an average meal; nothing to rave about here. If I felt like driving farther, I'd definitely hit up Pho Van in Chandler for pho or Com Tam Thuan Kieu in Mesa for com tam.",3
"I, like another reviewer, was not willing to fight for lunch at McDonald's... and so I travelled up the road to Burger King. I haven't been to a BK in years and have heard several quips about their ""new and updated menu."" 

I got a Whopper Jr. meal (no update there). Their fries are good, more satisfying than other fast food restaurants-- ""now with sea salt""-- as if that makes them more appealing. 

The Whopper Jr. itself is just... meh.. I'm sorry, I don't do mayo. I do appreciate the fresh (?) veggies on top though. 

Soda seems syrupy here to me.

If McDonald's is busy, head here. They DO have a nice outdoor patio, though. And Iike their workers' uniforms better. Does that count??",3
Ditto what Kristi M. said.  Thank you to my fellow Yelpers for helping me find this place.,5
"It's a supermarket.  I just go in buy what I need and get out.  It's convenient that there's a wells fargo in there, but there's one across the street as well.  

To the negative experience.....
My sister was speaking to my niece, but not in english.  Some caucasian lady walks by and rudely says, ""Can't you speak english?""  WTF?!?  Is this taking SB 1070 in your own hands?  It's like you're trying to make every race hate you even more.  I will run into this arrogance wherever I go.

I'm not done yet.  Keep on reading....
My niece had a dollar in her hand and was pointing at the lottery scratcher machine.  We know you have to be of a certain age to play it.  One of the employees there rushes over and in a loud voice tells me niece she can't play it.  Calm down.  Kids are just innocent and don't need this extra verbal abuse in their lives.  Don't you have something better to do like restock the shelves?  Swear... Racial profiling.",1
"I'm a fan of the bistro. Today, however, a seemingly 'customer' was going behind the kitchen area, flipping my pizza and even entering the kitchen door. What? If you are an owner and are enjoying the bistro, act like a customer! I was kind of disturbed by a casual guy eating in the restaurant with his family and then going to get  cups, plates, and food from the serving area. Can I do that next time? I hope I go back. I have taken friends. As I said , I am a fan. You need my business.",4
"Met some friends here for happy hour the other day.  This is the old El Paso BBQ and they did a knockout job with the remodel. Great feel and warm colors to the place now.

I had a couple of Coronas and some chips and guacamole.  The regular menu looks better than the happy hour menu and think I'll try them the next time for lunch or dinner.",3
"I know... I know... it's Phoenix but I expected something far better.  Perhaps my mistake.  Located in what looks like an old fast food location this is a no frills, no cart, and no nonsense dim sum experience.  Don't think I will be going back (for many reasons) but if you are craving some bao or need a dumpling fix this place will do... just dont expect much.",2
"*Gamestop Burger*


Visiting a friend in Phoenix I first see Smashburger from the street. Upon first glance my other friend and I thought it was a Gamestop cuz the sign looked just like it. We both said ""Haha, we thought that was a Gamestop.""
Our friend goes, ""Yeah I first thought that too when I first saw it. It's pretty good there. Do you guys wanna go?"" 

So we ended up eating our first meal in Phoenix at Smashburger, and we were glad we did. The food was really good, and the smashfires were a great addition to our burgers.

I ordered the BBQ Bacon & Cheese. It was quite delicious, and a little on the greasy side. BUT that's where all the flavor is!!!!!

This burger has some hot steamy buns. Yeah I said it .
Unlike most places that use the typical sesame seed bun Smashburger uses egg buns. These buns are a lot softer and compliment the burger very nicely. 

I decided to order the smashfries which are seasoned with garlic and rosemary. These were an awesome choice. For those of you who may not like those flavors they offer regular fries as well. 

Seeing that I hadn't eaten since morning I also ordered the Arizona devil dog. This had guacamole, tomatoes, jalapenos, habenero cheese and a spicy chipotle sauce all on an all beef hot dog. I liked it. It was like nachos minus the chips on my hot dog. 

Now this place is on the pricey side, but if you feel like dishing out $8+ for a burger and fries then this place is not too shabby. 

Different locations call for different items on the menu, so don't be surprised if the Arizona devil dog cannot be found outside of Arizona. I say that they should combine all the regional menus to make one giant-mega selection-awesomeness menu. But I highly doubt that'll happen.",4
"The Family and I went back here on Saturday night. 

The food is just as spectacular as it was the first time we went! 

The service however was just not good. Our waiter seemed dazed and confused the whole time we were there. And slllllow. He also forgot stuff, I ordered a second glass of wine mid dinner and it never came, and I was never given the option to remind him because he did not come back until it was time to clear the plates! We sat at our table, all of us with empty plates for a good 10-15 minutes with out anyone coming by to clear them. We just sat there. Not cool, and its not like he was in another section, there was a table he was at 3 separate times that was directly behind ours, he just chose to ignore ours. 

We will go back as we do like the food and atmosphere and hopefully the service will improve.",3
